31-dic-68,0.09,3.49,3.49
31-dic-69,-0.49,3.21,3.21 
31-dic-70,0.56,4.07,4.07 
31-dic-71,0.08,3.29,3.29 
31-dic-72,-1.69,23.60,23.60 
31-dic-73,6.29,34.75,34.75 
31-dic-74,0.80,38.96,38.96 
31-dic-75,-0.88,6.04,6.04 
31-dic-76,0.95,5.49,5.49 
31-dic-77,0.79,10.46,10.46
31-dic-78,0.48,13.48,13.48
31-dic-79,21.58,45.45,45.45  
31-dic-80,3.69,23.94,23.94 
31-dic-81,-0.65,25.12,25.12 
31-dic-82,7.76,296.54,296.54 
31-dic-83,27.66,330.10,330.10 
31-dic-84,60.87,2168.33,2168.33 
31-dic-85,3.21,8173.33,8173.33 
31-dic-86,0.65,65.90,65.90 
31-dic-87,0.83,10.71,10.71 
31-dic-88,1.33,21.47,21.47 
31-dic-89,1.91,16.56,16.56 
31-dic-90,2.22,18.03,18.03 
31-dic-91,0.89,14.53,14.53 
31-dic-92,0.34,10.46,10.46
31-dic-93,0.48,9.30,9.30 
31-dic-94,0.13,8.52,8.52
31-dic-95,1.80,12.58,12.58
31-dic-96,0.17,7.95,7.95 
31-dic-97,3.05,6.73,6.73
31-dic-98,-0.16,4.39,4.39
31-dic-99,0.59,3.13,3.13
31-dic-00,0.22,3.41,3.41 
31-dic-01,0.07,0.92,0.92 
31-dic-02,0.23,2.45,2.45 
31-dic-03,0.90,3.94,3.94  
31-dic-04,0.60,4.62,4.62
31-dic-05,0.56,4.91,4.91 
31-dic-06,0.75,4.95,4.95 
31-dic-07,0.63,11.73,11.73 
31-dic-08,0.43,11.85,11.85 
31-dic-09,0.23,0.26,0.26 
31-dic-10,1.76,7.18,7.18 
31-dic-11,0.49,6.90,6.90 
31-dic-12,0.53,4.54,4.54 
31-dic-13,0.08,6.48,6.48 
31-dic-14,0.84,5.19,5.19 
31-dic-15,0.17,2.95,2.95 
31-dic-16,0.29,4.00,4.00 
31-dic-17,0.34,2.71,2.71 
31-dic-18,0.35,1.51,1.51 
31-dic-19,-1.54,1.47,1.47
